2025-04-10 15-24-18	INFO	handler/reception.go:31	Reception created successfully	{"receptionId": "1fbd4e1c-7b1d-497b-9b1c-97ed5b6f1bef", "pvzId": "f632a49e-f5b8-40ee-a421-923ff4da0dec"}
2025-04-10 15-25-36	INFO	repository/user.go:56	User authentication successful	{"userID": "15feede1-a124-4cfe-a1d5-3e3f71695ed3", "email": "user2@example.com"}
2025-04-10 15-25-36	INFO	handler/user.go:72	Login successful	{"email": "user2@example.com"}
2025-04-10 15-26-10	WARN	jwt/jwt.go:34	Invalid or expired token	{"error": "token contains an invalid number of segments"}
2025-04-10 15-27-57	INFO	service/user.go:97	Dummy token created	{"role": "employee"}
2025-04-10 15-27-57	INFO	handler/user.go:28	Dummy login successful	{"role": "employee"}
2025-04-10 15-27-57	INFO	repository/user.go:37	User created in database	{"userID": "6aaf1343-f9ae-47e8-ad84-cc3de3763093", "email": "user@example.com"}
2025-04-10 15-27-57	INFO	service/user.go:41	User successfully created	{"userID": "6aaf1343-f9ae-47e8-ad84-cc3de3763093", "email": "user@example.com"}
2025-04-10 15-27-57	INFO	handler/user.go:51	User registered successfully	{"userID": "6aaf1343-f9ae-47e8-ad84-cc3de3763093", "email": "user@example.com"}
2025-04-10 15-27-57	INFO	repository/user.go:37	User created in database	{"userID": "7118a9be-0b32-40fd-8f48-82848d7d889f", "email": "user2@example.com"}
2025-04-10 15-27-57	INFO	service/user.go:41	User successfully created	{"userID": "7118a9be-0b32-40fd-8f48-82848d7d889f", "email": "user2@example.com"}
2025-04-10 15-27-57	INFO	handler/user.go:51	User registered successfully	{"userID": "7118a9be-0b32-40fd-8f48-82848d7d889f", "email": "user2@example.com"}
2025-04-10 15-27-57	INFO	repository/user.go:56	User authentication successful	{"userID": "6aaf1343-f9ae-47e8-ad84-cc3de3763093", "email": "user@example.com"}
2025-04-10 15-27-57	INFO	handler/user.go:72	Login successful	{"email": "user@example.com"}
